link,title,tagline,number_star_rating,number_of_eval,instructor_img,instructor_name,finaid,metrics,skills,description,applied_learning_project
/professional-certificates/google-it-support,Nombre de Google IT Support Certificat Professionnel,"Nombre de Google IT Support Certificat ProfessionnelThis is your launchpad to an IT career. In this program, you’ll learn the in-demand skills that will have you job-ready in 3-6 months. No degree or prior experience required.",4.8étoiles,,,,,"1,334,955 consultations récentes",[],"In this 5-course certificate program, you’ll prepare for an entry-level job in IT support through an innovative curriculum developed by Google. 80% of Google IT Support Professional Certificate learners in the U.S. report a career impact within 6 months, such as finding a new job, getting a raise, or starting a new business. The program is part of Grow with Google, a Google initiative to help create economic opportunities for all. Learn more.

Upon completion of the certificate, learners eligible to work in the US can directly share their information with Google, as well as employers like Hulu, Infosys, Intel, Walmart, and more.

This program also prepares you for the CompTIA A+ exams, the industry standard certification for IT— you’ll earn a dual credential when you complete both. Through a mix of video lectures, quizzes, and hands-on labs, you’ll get introduced to troubleshooting, customer service, networking, operating systems, system administration, and security — foundational IT skills required for an entry-level role. You’ll hear from Googlers whose foundations in IT support, served as launchpads for their own careers. By dedicating ~5 hours a week, you can complete in 3-6 months.

This program is ACE® certified—when you complete, you can earn up to 12 college credits, the equivalent of 4 associate degree-level courses.

If you’re interested in building on your IT foundations, check out the Google IT Automation with Python Professional Certificate.","Projet d'apprentissage appliquéIn this Professional Certificate program you'll have access to a variety of hands-on assessments which will help you simulate real-world IT support scenarios that are critical for success in the workplace.Examples of virtual assessments include: computer assembly, networking simulation, writing effective support documentation, routing paths and subnets, wireless networking, device software management, public key or asymmetric encryption, incident handling, and more.By earning these IT Skills, you’ll prepare yourself for roles that include — systems analyst, support specialist, database administrator, IT technician, computer specialist, and many more. Through this program, you will also gain access to free resources that can help you launch and advance your career, including interview tips, mock interviews and resume building workshops (a $79/month value), as well as career coaching sessions."
/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,Nombre de IA appliqué à IBM Certificat Professionnel,"Nombre de IA appliqué à IBM Certificat ProfessionnelKickstart your career in artificial intelligence. Learn Python, build a chatbot, explore machine learning and computer vision, and leverage IBM Watson. ",4.6étoiles,"29,177 évaluations",,Rav Ahuja +5 enseignants de plus,,"90,953 consultations récentes",[],"Artificial intelligence (AI) is transforming our world. Whether you’re a student, a developer, or a technology consultant - understanding AI and knowing how to create AI-powered applications can give you an edge in your career. This Professional Certificate is designed to arm you with the skills to work as an AI developer.

This program will give you a firm understanding of AI technology, its applications, and its use cases. You will become familiar with concepts and tools like machine learning, data science, natural language processing, image classification, image processing, IBM Watson AI services, OpenCV, and APIs. Even if you have no programming background, through this Professional Certificate, you will learn practical Python skills to design, build, and deploy AI applications on the web. The courses will also enable you to apply pre-built AI smarts to your products and solutions.

Rather than create complex AI algorithms and interfaces from scratch, you’ll use IBM Watson AI services and APIs to create smart applications with minimal coding. By the end of this Professional Certificate, you will have completed several projects that showcase proficiency in applying AI and building AI-powered solutions.

In addition to earning a Professional Certificate from Coursera, you'll also receive a digital badge from IBM recognizing your proficiency in applied AI.","Projet d'apprentissage appliquéThis Professional Certificate contains a number of hands-on learning projects that will help develop your understanding of AI concepts and tools. Projects include building your own AI chatbot; practicing Python for data science; building, training, and testing your own custom image classifiers; and creating your own computer vision web application and deploying it to the Cloud. "
/specializations/applied-data-science,Spécialisation Applied Data Science,"Spécialisation Applied Data ScienceGet hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",4.6étoiles,"43,961 évaluations",,Joseph Santarcangelo +1 enseignant de plus,,"37,044 consultations récentes",[],"This action-packed Specialization is for data science enthusiasts who want to acquire practical skills for real world data problems. If you’re interested in pursuing a career in data science, and already have foundational skills or have completed the Introduction to Data Science Specialization, this program is for you!

This 4-course Specialization will give you the tools you need to analyze data and make data driven business decisions leveraging computer science and statistical analysis. You will learn Python–no prior programming knowledge necessary–and discover methods of data analysis and data visualization. You’ll utilize tools used by real data scientists like Numpy and Pandas, practice predictive modeling and model selection, and learn how to tell a compelling story with data to drive decision making.

Through guided lectures, labs, and projects in the IBM Cloud, you’ll get hands-on experience tackling interesting data problems from start to finish. Take this Specialization to solidify your Python and data science skills before diving deeper into big data, AI, and deep learning.

In addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM recognizing you as a specialist in applied data science.

This Specialization can also be applied toward the IBM Data Science Professional Certificate.","Projet d'apprentissage appliquéComplete hands-on labs and projects in the IBM Cloud by applying your newly acquired skills and knowledge throughout the Specialization. Projects include creating a random album generator, building a machine learning model, and analyzing geospatial data.  "
/specializations/data-science-python,Spécialisation Science des données appliquée avec Python,"Spécialisation Science des données appliquée avec PythonGain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",4.5étoiles,"39,432 évaluations",,Christopher Brooks +3 enseignants de plus,,"194,912 consultations récentes",[],"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate.",
/specializations/deep-learning,Spécialisation Deep Learning,"Spécialisation Deep LearningDeep Learning Specialization.   Master Deep Learning, and Break into AI",4.8étoiles,"255,405 évaluations",,Andrew Ng +2 enseignants de plus,,"543,359 consultations récentes","[""Tensorflow"", ""Convolutional Neural Network"", ""Artificial Neural Network"", ""Deep Learning"", ""Backpropagation"", ""Python Programming"", ""Hyperparameter"", ""Hyperparameter Optimization"", ""Machine Learning"", ""Inductive Transfer"", ""Multi-Task Learning"", ""Facial Recognition System""]","If you want to break into AI, this Specialization will help you do so. Deep Learning is one of the most highly sought after skills in tech. We will help you become good at Deep Learning.

In five courses, you will learn the foundations of Deep Learning, understand how to build neural networks, and learn how to lead successful machine learning projects. You will learn about Convolutional networks, RNNs, LSTM, Adam, Dropout, BatchNorm, Xavier/He initialization, and more. You will work on case studies from healthcare, autonomous driving, sign language reading, music generation, and natural language processing. You will master not only the theory, but also see how it is applied in industry. You will practice all these ideas in Python and in TensorFlow, which we will teach.

You will also hear from many top leaders in Deep Learning, who will share with you their personal stories and give you career advice.

AI is transforming multiple industries. After finishing this specialization, you will likely find creative ways to apply it to your work.

We will help you master Deep Learning, understand how to apply it, and build a career in AI.","Projet d'apprentissage appliquéYou will see and work on case studies in healthcare, autonomous driving, sign language reading, music generation, and natural language processing. You will also build near state-of-the-art deep learning models for several of these applications. In a ""Machine Learning flight simulator"", you will work through case studies and gain ""industry-like experience"" setting direction for an ML team. deeplearning.ai is also partnering with the NVIDIA Deep Learning Institute (DLI) in Course 5, Sequence Models, to provide a programming assignment on Machine Translation with deep learning. You will have the opportunity to build a deep learning project with cutting-edge, industry-relevant content."
/specializations/python,Spécialisation Le Python pour tous,"Spécialisation Le Python pour tousLearn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",4.8étoiles,"305,523 évaluations",,,,,[],"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, you’ll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",
/professional-certificates/google-it-support,Nombre de Google IT Support Certificat Professionnel,"Nombre de Google IT Support Certificat ProfessionnelThis is your launchpad to an IT career. In this program, you’ll learn the in-demand skills that will have you job-ready in 3-6 months. No degree or prior experience required.",4.8étoiles,,,,,"1,334,955 consultations récentes",[],"In this 5-course certificate program, you’ll prepare for an entry-level job in IT support through an innovative curriculum developed by Google. 80% of Google IT Support Professional Certificate learners in the U.S. report a career impact within 6 months, such as finding a new job, getting a raise, or starting a new business. The program is part of Grow with Google, a Google initiative to help create economic opportunities for all. Learn more.

Upon completion of the certificate, learners eligible to work in the US can directly share their information with Google, as well as employers like Hulu, Infosys, Intel, Walmart, and more.

This program also prepares you for the CompTIA A+ exams, the industry standard certification for IT— you’ll earn a dual credential when you complete both. Through a mix of video lectures, quizzes, and hands-on labs, you’ll get introduced to troubleshooting, customer service, networking, operating systems, system administration, and security — foundational IT skills required for an entry-level role. You’ll hear from Googlers whose foundations in IT support, served as launchpads for their own careers. By dedicating ~5 hours a week, you can complete in 3-6 months.

This program is ACE® certified—when you complete, you can earn up to 12 college credits, the equivalent of 4 associate degree-level courses.

If you’re interested in building on your IT foundations, check out the Google IT Automation with Python Professional Certificate.","Projet d'apprentissage appliquéIn this Professional Certificate program you'll have access to a variety of hands-on assessments which will help you simulate real-world IT support scenarios that are critical for success in the workplace.Examples of virtual assessments include: computer assembly, networking simulation, writing effective support documentation, routing paths and subnets, wireless networking, device software management, public key or asymmetric encryption, incident handling, and more.By earning these IT Skills, you’ll prepare yourself for roles that include — systems analyst, support specialist, database administrator, IT technician, computer specialist, and many more. Through this program, you will also gain access to free resources that can help you launch and advance your career, including interview tips, mock interviews and resume building workshops (a $79/month value), as well as career coaching sessions."
/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,Nombre de IA appliqué à IBM Certificat Professionnel,"Nombre de IA appliqué à IBM Certificat ProfessionnelKickstart your career in artificial intelligence. Learn Python, build a chatbot, explore machine learning and computer vision, and leverage IBM Watson. ",4.6étoiles,"29,177 évaluations",,Rav Ahuja +5 enseignants de plus,,"90,953 consultations récentes",[],"Artificial intelligence (AI) is transforming our world. Whether you’re a student, a developer, or a technology consultant - understanding AI and knowing how to create AI-powered applications can give you an edge in your career. This Professional Certificate is designed to arm you with the skills to work as an AI developer.

This program will give you a firm understanding of AI technology, its applications, and its use cases. You will become familiar with concepts and tools like machine learning, data science, natural language processing, image classification, image processing, IBM Watson AI services, OpenCV, and APIs. Even if you have no programming background, through this Professional Certificate, you will learn practical Python skills to design, build, and deploy AI applications on the web. The courses will also enable you to apply pre-built AI smarts to your products and solutions.

Rather than create complex AI algorithms and interfaces from scratch, you’ll use IBM Watson AI services and APIs to create smart applications with minimal coding. By the end of this Professional Certificate, you will have completed several projects that showcase proficiency in applying AI and building AI-powered solutions.

In addition to earning a Professional Certificate from Coursera, you'll also receive a digital badge from IBM recognizing your proficiency in applied AI.","Projet d'apprentissage appliquéThis Professional Certificate contains a number of hands-on learning projects that will help develop your understanding of AI concepts and tools. Projects include building your own AI chatbot; practicing Python for data science; building, training, and testing your own custom image classifiers; and creating your own computer vision web application and deploying it to the Cloud. "
/specializations/applied-data-science,Spécialisation Applied Data Science,"Spécialisation Applied Data ScienceGet hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",4.6étoiles,"43,961 évaluations",,Joseph Santarcangelo +1 enseignant de plus,,"37,044 consultations récentes",[],"This action-packed Specialization is for data science enthusiasts who want to acquire practical skills for real world data problems. If you’re interested in pursuing a career in data science, and already have foundational skills or have completed the Introduction to Data Science Specialization, this program is for you!

This 4-course Specialization will give you the tools you need to analyze data and make data driven business decisions leveraging computer science and statistical analysis. You will learn Python–no prior programming knowledge necessary–and discover methods of data analysis and data visualization. You’ll utilize tools used by real data scientists like Numpy and Pandas, practice predictive modeling and model selection, and learn how to tell a compelling story with data to drive decision making.

Through guided lectures, labs, and projects in the IBM Cloud, you’ll get hands-on experience tackling interesting data problems from start to finish. Take this Specialization to solidify your Python and data science skills before diving deeper into big data, AI, and deep learning.

In addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM recognizing you as a specialist in applied data science.

This Specialization can also be applied toward the IBM Data Science Professional Certificate.","Projet d'apprentissage appliquéComplete hands-on labs and projects in the IBM Cloud by applying your newly acquired skills and knowledge throughout the Specialization. Projects include creating a random album generator, building a machine learning model, and analyzing geospatial data.  "
/specializations/data-science-python,Spécialisation Science des données appliquée avec Python,"Spécialisation Science des données appliquée avec PythonGain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",4.5étoiles,"39,432 évaluations",,Christopher Brooks +3 enseignants de plus,,"194,912 consultations récentes",[],"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate.",
